Priority,Company,Booth,Country,Category,Why relevant,What to ask,Met?,Followup,Notes
🟡 Strong,3H Labs,3D154G,South Korea,Asian Botanicals,"Korean botanicals — Zinoact (steamed ginger)","Asian sourcing network",,,
🟡 Strong,DolCas Biotech,3G221,India,Marine Collagen,"Morikol marine collagen tripeptide sachets","Postnatal recovery collagen format",,,
🟡 Strong,Bioiberica,5B28,Spain,Collagen/DAO,"Collagen + DAOgest","DAO interesting for pregnancy nausea support",,,
🟡 Strong,Threotech / Magtein,3J6,USA,Magnesium,"Magtein (magnesium L-threonate) — premium Mg form","Sleep + cognition support for postnatal",,,
🟡 Strong,Pharmactive Biotech,5D28,Spain,Nutricosmetic,"Kyoh (rocket leaf for hair)","Postpartum hair loss is a real concern",,,
🟢 Visit,Berlin Packaging / O.Berk,Verify,Various,Packaging,"Premium glass + plastic supplement bottles","Sustainable options for premium brand presentation",,,
🟢 Visit,TricorBraun,Verify,USA,Packaging,"Premium DTC packaging (Ritual-style suppliers)","Custom design capability for India shipping",,,
🟢 Visit,Selig Group,Verify,USA,Packaging,"Tamper-evident sealing","Medical-grade trust signal for the bottle",,,
🟢 Visit,Adelphi Healthcare Packaging,Verify,UK,Packaging,"Sustainable supplement packaging","Eco-friendly options",,,
🟢 Visit,Eurofins,Verify,Luxembourg,Testing Lab,"Per-batch heavy metals + microbio testing. NABL India presence","Routine batch testing pricing for The Edit",,,
🟢 Visit,NSF International,Verify,USA,Verification,"Third-party verification — NSF Verified is huge for DTC trust","Process for NSF Verified status on prenatal SKU",,,
🟢 Visit,SGS,Verify,Switzerland,Testing Lab,"Lab testing alternative to Eurofins","Comparison quote on per-batch testing",,,
🟢 Visit,Clean Label Project,Verify,USA,Verification,"Ritual carries their Purity Award. Massive trust signal","Process for Indian DTC brand certification",,,
🟢 Visit,EAS Strategies,Verify,USA,Regulatory,"Global supplement regulatory consulting","International expansion advice (post-India)",,,
🟢 Visit,CPL Business Consultants,Verify,UK,Industry Strategy,"Global nutraceutical industry consultancy","Market sizing + competitive landscape data",,,
🟢 Visit,Synergy Flavours,3K246,Ireland,Flavor Dev,"Protein concepts for women's health + healthy ageing","Trend direction in women's wellness flavoring",,,
🟢 Visit,Sabinsa Pavilion (India zone),3F104+,India,Networking,"Wider Indian exhibitor cluster","Networking with other Indian founders",,,
🟢 Visit,dsm-firmenich Innovation Wall,3C88,Netherlands,Trends,"What 'next' looks like in nutrition","Preview of 2027 formulations",,,
🔴 Must,Lallemand Health Solutions,Verify,Canada/France,Probiotic / Prenatal Specialist,"Prenatis™ — clinically studied probiotic formula for maternal health + infant microbiome through breastfeeding. DIRECT prenatal/postnatal application","Prenatis™ ingredient supply? India distribution? Evidence base + clinical study data? Pricing? Could be hero ingredient for Edit Postnatal SKU",,,
🔴 Must,Jinkang Pharma,Verify,China,Folate Specialist,"Magnafolate® L-methylfolate — pregnancy + infant-grade purity standard. Alternative to Quatrefolic","Pricing comparison vs Quatrefolic? India distribution? Pregnancy/infant-grade certification docs? MOQ?",,,
🔴 Must,Arjuna Natural,India Pavilion,India,Indian Botanical,"Kerala-based — turmeric extracts, BCM-95 curcumin, ashwagandha. Perennial Vitafoods exhibitor","India-to-India supply chain? Women's health botanicals? KSM-66 alternatives?",,,
🔴 Must,Akay (Synthite Industries),India Pavilion,India,Indian Botanical,"Botanical extracts, oleoresins. Major Indian extract manufacturer","Premium ingredient capability? Prenatal-grade specifications?",,,
🔴 Must,Vidya Herbs,India Pavilion,India,Indian Botanical,"Bangalore-based herbal extracts","Women's health portfolio? Ashwagandha + shatavari sourcing?",,,
🔴 Must,Natural Remedies,India Pavilion,India,Indian Botanical,"Bangalore-based Ayurvedic/herbal extracts","Women's health botanicals? Ayurvedic ingredients with modern clinical backing?",,,
🔴 Must,Nutra Specialities,India Pavilion,India,Indian Botanical,"Hyderabad-based botanical actives","Premium ingredient offerings for prenatal? India supply chain?",,,
🔴 Must,Olive Lifesciences,India Pavilion,India,Indian Botanical,"Bangalore-based natural ingredients","Women's health portfolio? Quality certifications?",,,
🟢 Visit,Indian Spices Board / Pharmexcil collective stand,India Pavilion,India,Industry Network,"Government-organised India cluster. Useful for networking with peer Indian founders","Other Indian DTC supplement founders attending? India regulatory updates? Government export support programs?",,,
🟢 Visit,Sami-Sabinsa Group (parent),Verify,India,Indian Botanical Parent,"Parent company of Sabinsa — may have separate booth","Larger portfolio than Sabinsa booth alone?",,,
🟢 Visit,Plant Lipids,India Pavilion,India,Indian Botanical,"Natural extracts. Often co-located with India cluster","Botanical specifications for women's health applications",,,
